"treat","village","treatXfemalerec","asset_after","asset_before","nondurable_expend_after","nondurable_expend_before","total_rev_after","total_rev_before","food_security_after","food_security_before","health_index_after","health_index_before","ed_index_after","ed_index_before","psy_index_after","psy_index_before","treatXlarge","treatXmonthlyXsmall"
0,74,0,240.070388793945,127.781700134277,162.775268554688,56.5693397521973,21.0869026184082,2.43433618545532,0.438831299543381,-1.1487934589386,0.912099063396454,-0.798766195774078,2.335604429245,1.12338840961456,NA,NA,0,0
1,55,0,665.341369628906,395.460784912109,201.282684326172,156.061386108398,101.993881225586,21.6527805328369,0.638312876224518,0.184116184711456,0.441286534070969,1.13744163513184,2.31205940246582,0.316027015447617,NA,0.0074690212495625,0,0
0,71,0,1384.29760742188,731.324096679688,93.1635208129883,162.167449951172,59.2888984680176,115.342697143555,0.418507933616638,-1.09489965438843,1.06234383583069,-0.771171391010284,0.419056802988052,-0.398159056901932,0.790082097053528,-0.564701795578003,0,0
0,46,0,200.899322509766,214.424880981445,56.0644721984863,132.617553710938,244.048889160156,532.708557128906,0.499703377485275,0.166111439466476,0.987169325351715,0.058097280561924,0.283438682556152,-1.0214855670929,NA,0.354365706443787,0,0
1,15,0,189.301666259766,270.579681396484,65.7659759521484,6.28374481201172,6.0057635307312,0.400384247303009,2.00942087173462,-2.69692230224609,2.52292561531067,1.76227760314941,NA,NA,NA,NA,0,1
0,61,0,387.248443603516,229.491989135742,180.211044311523,236.825378417969,21.033519744873,91.9789352416992,-0.285357415676117,0.47896546125412,-0.95745462179184,2.15663623809814,-1.60417401790619,0.366845071315765,-0.72360223531723,-1.49014222621918,0,0
0,73,0,1409.51086425781,318.060119628906,147.234649658203,98.9633483886719,17.8838310241699,4.67114925384521,0.0208414699882269,-0.769062638282776,-0.183231428265572,-0.45219224691391,0.447310626506805,NA,0.33421516418457,0.0839754194021225,0,0
0,61,0,290.695892333984,170.083297729492,217.744201660156,129.91325378418,179.137252807617,16.0474014282227,-1.14098942279816,-2.1856689453125,-2.26624846458435,2.02453422546387,0.268370002508163,0.191358223557472,1.29743242263794,-0.314943552017212,0,0
1,61,1,489.1162109375,364.923034667969,178.016540527344,92.9921035766602,31.5289249420166,58.3546714782715,1.20622479915619,0.0381346493959427,-1.31739628314972,1.58934688568115,-0.200101613998413,-0.427406877279282,0.0111122271046042,2.30351805686951,0,0
1,74,1,1124.19567871094,761.832641601562,254.078125,408.684417724609,43.1026992797852,82.6873550415039,0.364695191383362,0.0255757961422205,0.472492456436157,1.00729501247406,0.647241115570068,0.471806406974792,-0.88048380613327,-0.738561809062958,0,1
0,74,0,198.388793945312,110.29126739502,184.407440185547,108.169906616211,17.7717208862305,9.06736850738525,-0.383812725543976,-0.785681486129761,-0.423801988363266,1.48738420009613,-0.28198030591011,-0.183509811758995,1.56418788433075,0.177679792046547,0,0
0,74,0,203.142166137695,100.555572509766,160.466369628906,426.487030029297,54.5510215759277,95.6064147949219,-0.202636227011681,-0.699118733406067,-0.00710460264235735,1.76227760314941,-1.63468825817108,NA,0.0269319321960211,NA,0,0
0,74,0,101.32283782959,420.140258789062,173.907089233398,257.888061523438,33.3706932067871,123.985656738281,0.102660067379475,-1.15633761882782,0.161822527647018,-0.209446921944618,-0.147954344749451,0.307179540395737,-0.800304234027863,-1.2167421579361,0,0
1,46,0,221.730041503906,91.3804321289062,550.928344726562,146.943878173828,120.09391784668,204.60969543457,-0.0239849332720041,-0.4476058781147,0.211953356862068,0.422252476215363,0.0634650066494942,-0.031421210616827,1.98011028766632,-1.06809961795807,0,0
1,15,1,722.15869140625,184.429702758789,97.2316055297852,89.0000839233398,7.47383975982666,37.8336410522461,0.0224435068666935,-2.15376400947571,-1.11396753787994,0.999077379703522,0.588579416275024,0.388780981302261,0.126944109797478,0.983021259307861,0,1
1,46,1,551.134155273438,585.3935546875,215.993957519531,144.695068359375,354.673736572266,77.653190612793,1.60120379924774,1.44627618789673,1.07783949375153,0.521002650260925,0.0281477924436331,-0.427406877279282,0.826279759407043,0.78206866979599,0,1
1,73,0,763.859497070312,42.9211921691895,135.28678894043,142.476928710938,6.5396089553833,33.9098739624023,0.371635884046555,-0.322087705135345,0.621809005737305,-0.500105857849121,-1.05981802940369,-1.66493713855743,-0.427186340093613,-1.77598822116852,0,0
1,73,1,179.980041503906,61.3306121826172,88.4071350097656,104.31763458252,8.70702362060547,2.90945887565613,0.415566951036453,-0.484386175870895,-2.30342602729797,1.02884817123413,0.701594591140747,-0.203173667192459,-0.271800130605698,-0.240026742219925,0,0
